,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_merged_1_dropout,params_merged_1_size,params_merged_2_dropout,params_merged_2_size,params_merged_3_dropout,params_merged_3_size,state
56,56,0.8018867924528302,2024-03-04 22:11:28.494986,2024-03-04 22:11:40.994911,0 days 00:00:12.499925,0.0021200975699738485,0.2584790469368232,188,0.32313566853885634,95,0.3513909039670876,53,COMPLETE
57,57,0.7830188679245284,2024-03-04 22:11:40.996191,2024-03-04 22:11:51.479050,0 days 00:00:10.482859,0.010677524403913743,0.4426057723064245,250,0.4723475842464815,75,0.4200832760232547,34,COMPLETE
58,58,0.7924528301886793,2024-03-04 22:11:51.480254,2024-03-04 22:11:59.921539,0 days 00:00:08.441285,0.019102538930746524,0.4785609299586316,167,0.2865902482215493,105,0.283421567656964,61,COMPLETE
59,59,0.7830188679245284,2024-03-04 22:11:59.922761,2024-03-04 22:12:25.171252,0 days 00:00:25.248491,0.00047737448950821627,0.3205873062800174,236,0.3550838420304766,110,0.32709191984273867,63,COMPLETE
60,60,0.8207547169811321,2024-03-04 22:12:25.172544,2024-03-04 22:12:39.835813,0 days 00:00:14.663269,0.0011830266338193707,0.3824140724808031,151,0.44393429976981474,127,0.40181948942137025,45,COMPLETE
61,61,0.8018867924528302,2024-03-04 22:12:39.836549,2024-03-04 22:12:47.842491,0 days 00:00:08.005942,0.02118299876569059,0.2834732531284173,221,0.46142049997531714,84,0.15997786827422106,64,COMPLETE
62,62,0.7830188679245284,2024-03-04 22:12:47.843527,2024-03-04 22:12:56.412874,0 days 00:00:08.569347,0.007654178655057621,0.30460407090506375,205,0.4964671777020465,88,0.2687631304709704,59,COMPLETE
63,63,0.5188679245283019,2024-03-04 22:12:56.414884,2024-03-04 22:13:07.151999,0 days 00:00:10.737115,0.057433606993382645,0.32111019484595243,211,0.42268824997535326,102,0.21014301257983262,56,COMPLETE
64,64,0.7924528301886793,2024-03-04 22:13:07.153248,2024-03-04 22:13:18.544854,0 days 00:00:11.391606,0.004772586694114704,0.3603963287965027,113,0.3813229824030207,92,0.1953747844428836,60,COMPLETE
65,65,0.7924528301886793,2024-03-04 22:13:18.546119,2024-03-04 22:13:30.170439,0 days 00:00:11.624320,0.012676304387903042,0.4654355487610425,251,0.44184864209807484,97,0.12963346406534132,62,COMPLETE
66,66,0.8207547169811321,2024-03-04 22:13:30.171721,2024-03-04 22:13:51.810603,0 days 00:00:21.638882,0.0006961889576088954,0.2450563660975727,239,0.45700538167947913,100,0.1092635177083746,54,COMPLETE
67,67,0.7735849056603774,2024-03-04 22:13:51.811922,2024-03-04 22:13:58.885644,0 days 00:00:07.073722,0.02789225271690588,0.43394287549277705,90,0.4297971595103828,85,0.3792496608791497,57,COMPLETE
68,68,0.8207547169811321,2024-03-04 22:13:58.886916,2024-03-04 22:14:11.539632,0 days 00:00:12.652716,0.0033706411945031195,0.4175284232447618,224,0.31163698964538816,115,0.33664448377015727,48,COMPLETE
69,69,0.8301886792452831,2024-03-04 22:14:11.540938,2024-03-04 22:14:27.437794,0 days 00:00:15.896856,0.000987696434530762,0.29564647597496424,215,0.4094709967810913,69,0.16796383882506724,52,COMPLETE
70,70,0.7924528301886793,2024-03-04 22:14:27.439143,2024-03-04 22:14:52.904167,0 days 00:00:25.465024,0.0003392621210835015,0.48457710109284546,189,0.34474367838954967,65,0.36111331880433956,51,COMPLETE
71,71,0.8207547169811321,2024-03-04 22:14:52.905449,2024-03-04 22:15:04.753877,0 days 00:00:11.848428,0.0018412668789882102,0.29351195886499065,201,0.40254920485436285,52,0.1584780536794263,53,COMPLETE
72,72,0.8207547169811321,2024-03-04 22:15:04.756097,2024-03-04 22:15:25.640657,0 days 00:00:20.884560,0.0008035532169256175,0.2668575261267096,256,0.41794911806479873,65,0.18175414991267957,55,COMPLETE
73,73,0.8018867924528302,2024-03-04 22:15:25.642175,2024-03-04 22:15:49.696159,0 days 00:00:24.053984,0.0005202009283075088,0.2865098393489908,216,0.3694182604981141,71,0.16378289456493428,58,COMPLETE
74,74,0.8207547169811321,2024-03-04 22:15:49.697479,2024-03-04 22:16:04.396733,0 days 00:00:14.699254,0.0011267261236607054,0.3076574927162021,231,0.38733075479324863,75,0.20746662570585547,50,COMPLETE
75,75,0.7735849056603774,2024-03-04 22:16:04.398054,2024-03-04 22:16:16.246840,0 days 00:00:11.848786,0.0020927148641740278,0.4006834205856752,211,0.4655402269825675,60,0.12813757227636563,64,COMPLETE
76,76,0.8018867924528302,2024-03-04 22:16:16.247613,2024-03-04 22:16:32.624565,0 days 00:00:16.376952,0.007395838392392028,0.4457571681800033,240,0.4848055918239849,108,0.2976249424482996,39,COMPLETE
77,77,0.8018867924528302,2024-03-04 22:16:32.626993,2024-03-04 22:16:50.071217,0 days 00:00:17.444224,0.001328746229105986,0.345397915154529,66,0.4394020283247559,90,0.23277718267985026,56,COMPLETE
78,78,0.7924528301886793,2024-03-04 22:16:50.073034,2024-03-04 22:17:17.221741,0 days 00:00:27.148707,0.000380148548521443,0.37016978804196515,250,0.21834398369049898,98,0.44863354754784995,61,COMPLETE
79,79,0.7830188679245284,2024-03-04 22:17:17.222902,2024-03-04 22:17:26.809954,0 days 00:00:09.587052,0.002885291816917545,0.21251750543196546,243,0.360565300569376,103,0.3213120550728069,52,COMPLETE
80,80,0.7924528301886793,2024-03-04 22:17:26.811899,2024-03-04 22:17:44.120624,0 days 00:00:17.308725,0.0009485526144428782,0.33060615191802156,227,0.40997100531294534,94,0.2632948072552592,54,COMPLETE
81,81,0.8679245283018868,2024-03-04 22:17:44.121937,2024-03-04 22:18:07.542077,0 days 00:00:23.420140,0.0006450898381415978,0.49755083062611494,247,0.19975452976277375,104,0.4616364018251981,46,COMPLETE
82,82,0.8207547169811321,2024-03-04 22:18:07.543295,2024-03-04 22:18:26.019390,0 days 00:00:18.476095,0.0006970262670753058,0.49922575245818607,235,0.15736387259299767,105,0.4625291921701931,43,COMPLETE
83,83,0.7547169811320755,2024-03-04 22:18:26.020733,2024-03-04 22:18:44.764924,0 days 00:00:18.744191,0.0005474740149965648,0.46610184470527743,250,0.18271806890511166,112,0.48538455281596377,48,COMPLETE
84,84,0.839622641509434,2024-03-04 22:18:44.766238,2024-03-04 22:19:00.540771,0 days 00:00:15.774533,0.0014841070177206853,0.4852373559045552,134,0.23447012332103834,96,0.43451556976551736,46,COMPLETE
85,85,0.8207547169811321,2024-03-04 22:19:00.542116,2024-03-04 22:19:15.703720,0 days 00:00:15.161604,0.0013518327982647608,0.45711251924438046,148,0.205192562256868,108,0.4350098115193565,41,COMPLETE
